序号,粤语文本,普通话文本,拼音,场景
20,你好似瘦咗啲㖞！,你好像瘦了点哦！,nei5 hou2 ci5 sau3 zo2 di1 wo3！,1问候场景
366,下次你有需要，我一样帮你！,下次你有需要，我也一样帮你！,haa6 ci3 nei5 jau5 seoi1 jiu3，ngo5 jat1 joeng6 bong1 nei5！,2感谢场景
586,多谢你帮我帮朋友订蛋糕！,谢谢你帮我帮朋友订蛋糕！,do1 ze6 nei5 bong1 ngo5 bong1 pang4 jau5 ding6 daan6 gou1！,3做客场景
717,飞机安全降落到目的地机场，大家拍手多谢机组人员！,飞机安全降落到目的地机场，大家拍手谢谢机组人员！,fei1 gei1 on1 cyun4 gong3 lok6 dou3 muk6 dei6 dei6 gei1 coeng4，daai6 gaai3 paak3 sau2 do1 ze6 gei1 zou1 jan4 jyun4！,4出行场景
1012,房间嘅窗帘唔够遮光，打电话叫前台送遮光帘，半个钟送到！,房间的窗帘不够遮光，打电话叫前台送遮光帘，半个钟送到！,fong4 gaan1 gei1 cong1 lin4 m4 gau3 zip3 gwong1，daa2 din6 waa6 giu3 cin4 toi4 sung3 zip3 gwong1 lin4，bun3 go3 zung1 sung3 dou3！,5住宿场景
1262,有冇充电位？,有没有充电位置？,jau5 mou5 cung1 din6 wai6？,6就餐场景
1562,呢张床单几大尺寸啊？,这张床单多少大尺寸啊？,ni1 zoeng1 cyun1 daan1 gei1 daai6 cek3 cyun3 aa？,7购物场景
1867,想睇下连衣裙，要碎花款。,想看下连衣裙，要碎花款。,soeng2 tai2 haa6 lin4 jat1 kwan4，jiu3 ceoi3 faa1 fun2。,8逛街场景
2286,设三十秒自动锁屏，得唔得啊？,设置三十秒自动锁屏，行不行啊？,sit3 saam1 sap6 miu5 zi6 dung6 suk6 ping4，dak1 m4 dak1 aa？,9通讯场景
2451,会㗎，春节、国庆一般延迟一到两日。,会的，春节、国庆一般延迟一到两天。,wui5 gaa3，ceon1 zit3、gwok3 hing3 jat1 bun1 jin4 ci4 jat1 dou3 loeng5 jat6。,10邮寄场景
2625,贷款还款系按月还，定系按季还啊？,贷款还款是按月还，还是按季还啊？,daai3 kun3 wun4 fun2 hai6 on3 jyut6 wun4，ding6 hai6 on3 gwai3 wun4 aa？,11银行场景
2812,异地备案点样操作啊？唔知流程。,异地备案怎么操作啊？不知道流程。,ji6 dei6 bei6 on3 dim2 joeng6 cou3 zok3 aa？m4 zi1 lau4 cing4。,12看病场景
3141,星星好亮，唔使睇预报都知啦。,星星很亮，不用看预报都知道啦。,sing1 sing1 hou2 loeng6，m4 sai2 tai2 jyu6 bou3 dou1 zi1 laa。,13天气场景
3459,出门前要热身，预多半个字先好出发㗎。,出门前要热身，多预留七分半钟再出发的。,ceot1 mun4 cin4 jiu3 jit6 san1，juk6 do1 bun3 go3 zi6 sin1 hou2 ceot1 faat3 gaa3。,14时间场景
3563,下午睇民俗表演，舞龙舞狮好精彩㗎。,下午看民俗表演，舞龙舞狮好精彩的。,haa6 ng5 tai2 man4 zuk6 biu2 jin2，mou5 lung4 mou5 si1 hou2 zing1 coi2 gaa3。,15旅游场景
