场景,父场景,条目数
1问候场景,,403
2感谢场景,,264
2答谢道歉场景,,61
3做客场景,,118
4出行场景,,260
4出行场景坐火车,4出行场景,27
4出行场景坐飞机,4出行场景,36
4出行场景搭公交车,4出行场景,12
4出行场景搭的士,4出行场景,16
4出行场景问路,4出行场景,23
5住宿场景,,271
6就餐场景,,359
6就餐场景喝早茶,6就餐场景,31
6就餐场景宴亲朋,6就餐场景,30
6就餐场景订快餐,6就餐场景,10
6就餐场景购物,6就餐场景,30
6就餐场景食宵夜,6就餐场景,16
7购物场景,,427
7购物场景品牌专卖店,7购物场景,22
7购物场景街市买水果,7购物场景,19
7购物场景街市买肉,7购物场景,9
7购物场景街市买菜,7购物场景,13
8逛街场景,,288
9通讯场景,,228
10邮寄场景,,176
10邮寄场景取款,10邮寄场景,10
10邮寄场景存款,10邮寄场景,24
10邮寄场景寄邮件,10邮寄场景,15
10邮寄场景汇款,10邮寄场景,13
11银行场景,,279
12看病场景,,377
12看病场景挂号,12看病场景,7
12看病场景睇医生,12看病场景,20
13天气场景,,271
14时间场景,,149
15旅游场景,,337
16运动场景,,317
17兴趣爱好,,231
18休闲娱乐场景,,372
18休闲娱乐场景唱K,18休闲娱乐场景,9
18休闲娱乐场景打麻将,18休闲娱乐场景,7
18休闲娱乐场景睇戏,18休闲娱乐场景,12
18休闲娱乐场景踢波,18休闲娱乐场景,8
19求职场景,,274
19求职场景人才市场揾工,19求职场景,18
19求职场景朋友介绍揾工,19求职场景,12
19求职场景白领求职面试,19求职场景,13
20工作场景,,251
21校园场景,,486
22租房场景,,306
22租房场景睇楼,22租房场景,26
22租房场景租屋,22租房场景,25
22租房场景订房,22租房场景,18
23美容美发,,229
24问路场景,,249
25聚会应酬场景,,204
26约会约定场景,,163
27情绪表达场景,,168
28常用语场景,,312
29聊天场景,,96
30寻求帮助,,171
30请求帮助场景,,28
31交友场景,,38
33家庭生活,,30
34衣着外貌,,30
35性格人品,,32
37节庆婚丧,,34
39个人打算,,30
40建议命令,,26
41婚恋嫁娶,,29
